S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,ROCE %,Sales Rs.Cr.,OPM %,Debt / Eq,EPS 12M Rs.,Prom. Hold. %,Free Cash Flow 3Yrs Rs.Cr.,CF Opr 3Yrs Rs.Cr.,Ind PE,Chg in FII Hold %,Chg in DII Hold %,WC Days,Cash Cycle,Mar Cap Rs.Cr._num,P/E_num,Ind PE_num,ROCE %_num,Sales Rs.Cr._num,OPM %_num,Debt / Eq_num,EPS 12M Rs._num,Prom. Hold. %_num,Free Cash Flow 3Yrs Rs.Cr._num,CF Opr 3Yrs Rs.Cr._num,Chg in FII Hold %_num,Chg in DII Hold %_num,WC Days_num,Cash Cycle_num,sc_roce,sc_fcf3,sc_debteq,sc_valuation,sc_cfop3,sc_opm,sc_prom,sc_wceff,investment_score,rank
27,Indo Tech.Trans.,1664.1,22.91,1767.27,37.8,693.56,13.26,0.03,72.64,75.0,51.7,83.58,47.99,0.01,0.19,72.82,135.36,1767.27,22.91,47.99,37.8,693.56,13.26,0.03,72.64,75.0,51.7,83.58,0.01,0.19,72.82,135.36,0.5054175411196254,0.07103086506887504,0.931350114416476,0.9406044392175172,0.0716326991388856,0.17730299073023512,1.0,0.3301864933538492,0.4269066795910889,50
70,Vikram Solar,321.3,44.54,11621.97,26.45,3423.45,14.37,0.09,4.42,63.12,314.62,646.13,35.4,,,61.24,73.89,11621.97,44.54,35.4,26.45,3423.45,14.37,0.09,4.42,63.12,314.62,646.13,,,61.24,73.89,0.22843965054419457,0.44591162954503033,0.7940503432494279,0.4471095455915569,0.577659960115103,0.20106613003361123,0.49510846448319873,0.42357116596918964,0.42514995203635325,51
32,Shanthi Gears,477.65,39.43,3664.33,34.87,577.52,21.29,0.0,12.11,70.47,132.77,190.12,34.71,-0.04,-0.2,88.39,105.55,3664.33,39.43,34.71,34.87,577.52,21.29,0.0,12.11,70.47,132.77,190.12,-0.04,-0.2,88.39,105.55,0.4339157596759239,0.1866233782899381,1.0,0.5243496324637471,0.16746799268507032,0.3492111065915956,0.8077413866439814,0.32608840752238777,0.4175110312277709,52
35,Dreamfolks Servi,122.11,9.36,650.48,33.7,1320.04,7.05,0.04,13.06,65.72,125.62,128.92,9.36,-0.65,-3.09,37.86,83.15,650.48,9.36,9.36,33.7,1320.04,7.05,0.04,13.06,65.72,125.62,128.92,-0.65,-3.09,37.86,83.15,0.4053638537751968,0.17642865188645224,0.9084668192219679,0.901173043982954,0.11241712010175414,0.04435786003296873,0.60569970225436,0.4680699531985373,0.4134954635587929,53
47,Siddhika Coatins,231.0,16.71,142.73,31.1,51.6,20.62,0.0,13.82,63.09,11.91,12.94,42.23,0.0,0.0,6.54,93.34,142.73,16.71,42.23,31.1,51.6,20.62,0.0,13.82,63.09,11.91,12.94,0.0,0.0,6.54,93.34,0.3419151739958029,0.01429685617451091,1.0,0.9922423811761879,0.00809031941199911,0.3348675900751434,0.49383241173968556,0.5300728783812714,0.40896498744457077,54
18,Fluidomat,847.25,20.22,417.69,42.24,68.98,36.47,0.0,41.93,53.45,21.31,29.71,34.71,0.0,0.0,155.43,147.12,417.69,20.22,34.71,42.24,68.98,36.47,0.0,41.93,53.45,21.31,29.71,0.0,0.0,155.43,147.12,0.6137683635121289,0.027699713264408444,1.0,0.8741458200062378,0.02317533792870192,0.674188092740469,0.0837941301573801,0.12491644458395701,0.4083717136183109,55
42,Gyan Developers,37.54,8.66,11.26,32.01,3.61,47.37,0.0,4.33,64.86,2.42,2.42,40.05,0.0,0.0,156.58,265.25,11.26,8.66,40.05,32.01,3.61,47.37,0.0,4.33,64.86,2.42,2.42,0.0,0.0,156.58,265.25,0.3641222119185907,0.0007656738571569114,1.0,1.0,0.0,0.9075378390529011,0.5691195236069759,0.01910767150749404,0.39505348796691253,56
55,All E Tech,255.85,17.02,516.67,29.6,138.34,21.92,0.0,15.35,50.06,45.21,52.1,27.65,-0.9,0.0,-5.71,45.38,516.67,17.02,27.65,29.6,138.34,21.92,0.0,15.35,50.06,45.21,52.1,-0.9,0.0,-5.71,45.38,0.30531016643076797,0.06177719033340323,1.0,0.8532819823674793,0.04331568167282691,0.3626982937637821,0.0,0.6104278037052633,0.3909112376890326,57
11,Shine Fashions,42.4,15.12,105.39,47.55,80.45,11.7,0.25,2.89,65.2,1.7,1.77,22.36,0.0,0.0,45.42,42.31,105.39,15.12,22.36,47.55,80.45,11.7,0.25,2.89,65.2,1.7,1.77,0.0,0.0,45.42,42.31,0.7433500902923524,0.0,0.4279176201372996,0.8149451771501185,0.0,0.14390614630386867,0.5835814547001279,0.49455664789539666,0.3907094823369151,58
115,Bikaji Foods,717.45,88.85,17978.77,18.16,2699.7,12.32,0.17,8.08,73.92,276.45,609.28,57.53,-0.3,1.4,28.34,22.08,17978.77,88.85,57.53,18.16,2699.7,12.32,0.17,8.08,73.92,276.45,609.28,-0.3,1.4,28.34,22.08,0.026135975401434888,0.39148747474488255,0.6109839816933638,0.3983798577772313,0.5445124984370768,0.15717925113998868,0.9544874521480224,0.5562206267163459,0.3857877155488826,59
84,Intl. Travel Hse,449.85,13.69,359.63,24.07,235.33,15.53,0.01,32.86,61.69,67.48,95.97,36.98,0.0,0.0,12.97,92.07,359.63,13.69,36.98,24.07,235.33,15.53,0.01,32.86,61.69,67.48,95.97,0.0,0.0,12.97,92.07,0.17035970520767252,0.09353055494957538,0.977116704805492,1.0,0.08277780226482168,0.2258996810173196,0.43428328370906005,0.516455855003802,0.3805400132762362,60
41,Banco Products,798.6,26.4,11422.96,32.36,3378.73,19.54,0.44,30.25,67.88,314.27,580.94,32.44,0.57,-0.14,106.26,231.3,11422.96,26.4,32.44,32.36,3378.73,19.54,0.44,30.25,67.88,314.27,580.94,0.57,-0.14,106.26,231.3,0.37266338035043217,0.4454125869938107,0.0,0.7279752807323308,0.5190199865251296,0.3117466977799666,0.6975754997873246,0.1486153949759822,0.3766604742083548,61
120,Savera Industrie,159.0,13.15,189.69,17.18,83.8,19.99,0.07,13.68,62.8,38.95,33.51,34.4,0.0,0.0,-51.59,-45.58,189.69,13.15,34.4,17.18,83.8,19.99,0.07,13.68,62.8,38.95,33.51,0.0,0.0,-51.59,-45.58,0.0022207037922787254,0.05285145784587573,0.8398169336384439,1.0,0.026593529363613706,0.3213804029029569,0.4814972352190558,0.8112548305500292,0.3755566052615895,62
123,MKVentures Cap.,1335.65,60.61,513.35,16.55,23.59,53.54,0.0,22.04,74.36,29.47,30.73,30.71,0.0,0.0,-252.93,0.0,513.35,60.61,30.71,16.55,23.59,53.54,0.0,22.04,74.36,29.47,30.73,0.0,0.0,-252.93,0.0,0.0,0.039334533887128,1.0,0.0,0.02409285247175719,1.0,0.9732028923862188,0.7620258824596761,0.3732402190128637,63
38,Timescan Logist.,61.75,7.34,43.15,33.03,257.96,3.78,0.17,8.39,72.94,4.87,14.95,25.5,0.0,0.0,18.54,34.58,43.15,7.34,25.5,33.03,257.96,3.78,0.17,8.39,72.94,4.87,14.95,0.0,0.0,18.54,34.58,0.3890136170628145,0.004258971715694035,0.6109839816933638,0.9978216996607908,0.009898362776255082,0.0,0.9128030625265845,0.5655642832664547,0.3709997177850401,64
52,Party Cruisers,64.5,9.75,77.02,30.13,110.83,11.68,0.0,6.63,67.9,4.18,14.44,17.58,-0.01,0.0,76.8,30.46,77.02,9.75,17.58,30.13,110.83,11.68,0.0,6.63,67.9,4.18,14.44,-0.01,0.0,76.8,30.46,0.3182439357704136,0.00327514497186113,1.0,0.901173043982954,0.009439605504727448,0.14347798163173578,0.698426201616334,0.43420675211271453,0.36976520215812053,65
50,I T D C,590.4,63.17,5063.83,30.54,584.88,14.81,0.0,9.28,87.03,13.78,37.97,34.4,0.01,0.0,41.14,-1155.32,5063.83,63.17,34.4,30.54,584.88,14.81,0.0,9.28,87.03,13.78,37.97,0.01,0.0,41.14,-1155.32,0.32824930450485645,0.01696316923388414,1.0,0.08170059257492834,0.03060540667932597,0.2104857528205351,1.0,0.7882048532599826,0.36955239794422445,66
19,Frontier Springs,4235.0,39.33,1668.59,41.83,255.93,23.58,0.05,107.71,51.76,12.48,43.3,32.44,0.0,-0.02,64.33,92.16,1668.59,39.33,32.44,41.83,255.93,23.58,0.05,107.71,51.76,12.48,43.3,0.0,-0.02,64.33,92.16,0.603762994777686,0.015109582615068525,0.8855835240274599,0.4760568165835235,0.03539986992882066,0.398235961550813,0.011909825606125102,0.39663557950462636,0.36339296089361284,67
33,Insolation Ener,172.05,30.0,3791.0,34.73,1333.76,12.09,0.18,5.73,66.1,11.08,141.97,29.15,-0.15,0.13,2.0,31.79,3791.0,30.0,29.15,34.73,1333.76,12.09,0.18,5.73,66.1,11.08,141.97,-0.15,0.13,2.0,31.79,0.4304992923031873,0.01311341241019017,0.5881006864988557,0.5918665436501849,0.1241559091084907,0.15225535741046028,0.6218630370055295,0.6071333165262747,0.35652353993869235,68
76,Innovana Think.,481.85,21.21,995.5,25.6,110.45,54.25,0.22,22.9,73.22,6.79,37.85,27.65,0.19,0.32,124.05,103.38,995.5,21.21,27.65,25.6,110.45,54.25,0.22,22.9,73.22,6.79,37.85,0.19,0.32,124.05,103.38,0.20769681292400816,0.006996576568098638,0.49656750572082364,0.7575049871586785,0.0304974637919077,1.0,0.9247128881327097,0.24530664805296487,0.3544273151801426,69
24,Olatech Solution,194.0,20.51,86.34,39.93,21.04,27.09,0.13,9.53,62.72,2.31,4.43,32.5,0.0,0.0,119.87,598.91,86.34,20.51,32.5,39.93,21.04,27.09,0.13,9.53,62.72,2.31,4.43,0.0,0.0,119.87,598.91,0.5573966518619751,0.000608831912487898,0.7025171624713957,0.8434693680942604,0.0004353696459203431,0.47337886151013747,0.4780944279030201,0.10468076178931884,0.35318800859061283,70
83,C.E. Info System,1815.5,63.1,9934.72,24.13,483.37,38.87,0.04,28.94,51.36,185.33,278.55,32.5,-0.73,1.01,47.71,30.74,9934.72,63.1,32.5,24.13,483.37,38.87,0.04,28.94,51.36,185.33,278.55,-0.73,1.01,47.71,30.74,0.17182390551027388,0.2615653111245141,0.9084668192219679,0.01520953664708502,0.2470129054717149,0.7255678533964173,0.0,0.5017147749314397,0.3515607710403921,71
